article_id,high_quality_overall,low_quality_overall,high_quality_thesis,low_quality_thesis,high_quality_persuasive,low_quality_persuasive,high_quality_reasonable,low_quality_reasonable,high_quality_self_contained,low_quality_self_contained
73,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3']
75,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
76,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_5']","['summary_1', 'summary_3', 'summary_4']"
78,"['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
79,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3']
80,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_5']"
81,"['summary_2', 'summary_3', 'summary_5']","['summary_1', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_2', 'summary_3']","['summary_1', 'summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
83,"['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']"
84,"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2']
85,"['summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']","['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
86,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
87,"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_2', 'summary_5']","['summary_1', 'summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4']
88,"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5']
89,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_5']","['summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
90,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
91,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
92,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
93,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_5']","['summary_1', 'summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
94,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
95,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
96,"['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5']
97,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
98,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
99,"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
100,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
102,"['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2']
103,"['summary_2', 'summary_3', 'summary_4']","['summary_1', 'summary_5']","['summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_5']"
104,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
107,"['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_2', 'summary_3', 'summary_4']","['summary_1', 'summary_5']"
109,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
111,"['summary_2', 'summary_5']","['summary_1', 'summary_3', 'summary_4']","['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3']"
112,"['summary_1', 'summary_3', 'summary_4']","['summary_2', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_4']","['summary_2', 'summary_3', 'summary_5']","['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_3', 'summary_4']","['summary_2', 'summary_5']"
113,"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3']
114,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
115,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_3', 'summary_5']","['summary_2', 'summary_4']"
116,['summary_3'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']","['summary_2', 'summary_3', 'summary_5']","['summary_1', 'summary_4']","['summary_2', 'summary_3', 'summary_4']","['summary_1', 'summary_5']","['summary_1', 'summary_3']","['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_4']","['summary_2', 'summary_3', 'summary_5']"
117,"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2']
118,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1']
119,"['summary_1', 'summary_3', 'summary_5']","['summary_2', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_3', 'summary_5']","['summary_2', 'summary_4']","['summary_1', 'summary_3']","['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3', 'summary_5']","['summary_2', 'summary_4']"
120,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
121,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
122,"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
123,"['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']","['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
124,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
125,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
126,"['summary_2', 'summary_3']","['summary_1', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_3', 'summary_4']","['summary_1', 'summary_5']","['summary_2', 'summary_3']","['summary_1', 'summary_4', 'summary_5']"
127,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
128,"['summary_3', 'summary_4', 'summary_5']","['summary_1', 'summary_2']","['summary_1', 'summary_3', 'summary_5']","['summary_2', 'summary_4']","['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_5']"
129,"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_5']","['summary_1', 'summary_3', 'summary_4']"
130,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
131,"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
132,"['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_2', 'summary_4', 'summary_5']","['summary_1', 'summary_3']","['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3']
133,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_4', 'summary_5']",['summary_3'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_1'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
134,"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
135,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4']
136,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
138,"['summary_1', 'summary_5']","['summary_2', 'summary_3', 'summary_4']","['summary_1', 'summary_5']","['summary_2', 'summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_3', 'summary_5']","['summary_2', 'summary_4']"
139,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_5']","['summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
140,"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']",['summary_5']
141,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
143,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
144,"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_3', 'summary_4', 'summary_5']",['summary_2'],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
145,"['summary_1', 'summary_4']","['summary_2', 'summary_3', 'summary_5']","['summary_1', 'summary_4']","['summary_2', 'summary_3', 'summary_5']","['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']","['summary_1', 'summary_2', 'summary_4']","['summary_3', 'summary_5']","['summary_1', 'summary_4']","['summary_2', 'summary_3', 'summary_5']"
146,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
147,"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[],"['summary_1', 'summary_2', 'summary_3', 'summary_4', 'summary_5']",[]
148,['summary_1'],"['summary_2', 'summary_3', 'summary_4', 'summary_5']",['summary_5'],"['summary_1', 'summary_2', 'summary_3', 'summary_4']","['summary_1', 'summary_5']","['summary_2', 'summary_3', 'summary_4']","['summary_1', 'summary_2', 'summary_3', 'summary_5']",['summary_4'],['summary_1'],"['summary_2', 'summary_3', 'summary_4', 'summary_5']"
